iShares S&P 100 ETF
Fund Holdings as of,"Dec 29, 2023"
Inception Date,"Oct 23, 2000"
Shares Outstanding,"56,350,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","1,307,701,303.35","10.40","1,307,701,303.35","6,792,195.00","192.53","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","1,298,464,615.84","10.32","1,298,464,615.84","3,452,996.00","376.04","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","641,947,563.58","5.10","641,947,563.58","4,225,007.00","151.94","United States","NASDAQ","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","568,289,711.00","4.52","568,289,711.00","1,147,550.00","495.22","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","384,074,442.13","3.05","384,074,442.13","2,749,477.00","139.69","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","365,010,277.24","2.90","365,010,277.24","1,031,219.00","353.96","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","326,116,670.69","2.59","326,116,670.69","2,314,033.00","140.93","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","319,275,182.24","2.54","319,275,182.24","1,284,913.00","248.48","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","301,486,481.30","2.40","301,486,481.30","845,305.00","356.66","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","228,469,815.00","1.82","228,469,815.00","1,343,150.00","170.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","227,637,978.75","1.81","227,637,978.75","203,931.00","1,116.25","United States","NASDAQ","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","226,232,056.05","1.80","226,232,056.05","429,715.00","526.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","215,959,035.76","1.72","215,959,035.76","370,478.00","582.92","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","192,806,097.75","1.53","192,806,097.75","740,565.00","260.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","186,064,579.64","1.48","186,064,579.64","1,861,018.00","99.98","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","175,299,583.40","1.39","175,299,583.40","1,118,410.00","156.74","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","164,089,486.26","1.30","164,089,486.26","384,726.00","426.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","161,015,793.75","1.28","161,015,793.75","464,625.00","346.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","160,461,300.00","1.28","160,461,300.00","1,095,000.00","146.54","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","135,776,475.76","1.08","135,776,475.76","205,697.00","660.08","United States","NASDAQ","USD","1.00","USD","-"
